<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.01	00:00:00	1.10286	1.10389	1.09029	1.09632	173332	0	50
2020.04.02	00:00:00	1.09616	1.09681	1.08207	1.08569	171837	0	50
2020.04.03	00:00:00	1.08560	1.08649	1.07728	1.08131	148101	0	50
2020.04.06	00:00:00	1.08094	1.08355	1.07684	1.07937	142505	0	50
2020.04.07	00:00:00	1.07923	1.09259	1.07837	1.08919	137050	0	50
2020.04.08	00:00:00	1.08912	1.09022	1.08301	1.08546	124432	0	50
2020.04.09	00:00:00	1.08558	1.09519	1.08411	1.09296	132583	0	50
2020.04.10	00:00:00	1.09290	1.09524	1.09174	1.09351	86641	0	50
2020.04.13	00:00:00	1.09478	1.09678	1.08928	1.09091	90918	0	50
2020.04.14	00:00:00	1.09096	1.09872	1.09009	1.09818	109337	0	50
2020.04.15	00:00:00	1.09782	1.09908	1.08565	1.09112	107818	0	50
2020.04.16	00:00:00	1.09075	1.09113	1.08165	1.08390	129702	0	50
2020.04.17	00:00:00	1.08387	1.08927	1.08121	1.08741	119008	0	50
2020.04.20	00:00:00	1.08660	1.08967	1.08413	1.08623	89604	0	50
2020.04.21	00:00:00	1.08606	1.08802	1.08167	1.08569	104241	0	50
2020.04.22	00:00:00	1.08561	1.08853	1.08033	1.08230	77069	0	50
2020.04.23	00:00:00	1.08225	1.08467	1.07560	1.07757	112287	0	50
2020.04.24	00:00:00	1.07761	1.08257	1.07271	1.08248	89905	0	50
2020.04.27	00:00:00	1.08208	1.08601	1.08114	1.08294	80530	0	50
2020.04.28	00:00:00	1.08280	1.08885	1.08099	1.08197	83090	0	50
2020.04.29	00:00:00	1.08188	1.08856	1.08180	1.08734	83726	0	50
2020.04.30	00:00:00	1.08710	1.09728	1.08331	1.09517	116624	0	50
2020.05.01	00:00:00	1.09538	1.10187	1.09345	1.09805	81371	0	50
2020.05.04	00:00:00	1.09670	1.09744	1.08957	1.09038	84868	0	50
2020.05.05	00:00:00	1.09061	1.09259	1.08259	1.08375	89442	0	50
2020.05.06	00:00:00	1.08397	1.08452	1.07820	1.07959	84103	0	50
2020.05.07	00:00:00	1.07929	1.08341	1.07666	1.08319	93975	0	50
2020.05.08	00:00:00	1.08334	1.08756	1.08152	1.08394	74979	0	50
2020.05.11	00:00:00	1.08230	1.08506	1.08006	1.08065	79291	0	50
2020.05.12	00:00:00	1.08061	1.08852	1.07844	1.08484	87399	0	50
2020.05.13	00:00:00	1.08470	1.08965	1.08116	1.08189	95023	0	50
2020.05.14	00:00:00	1.08175	1.08239	1.07749	1.08043	86023	0	50
2020.05.15	00:00:00	1.08037	1.08511	1.07889	1.08186	79557	0	50
2020.05.18	00:00:00	1.08077	1.09270	1.07998	1.09142	77847	0	50
2020.05.19	00:00:00	1.09157	1.09760	1.09022	1.09234	81805	0	50
2020.05.20	00:00:00	1.09218	1.09990	1.09187	1.09782	78853	0	50
2020.05.21	00:00:00	1.09791	1.10083	1.09372	1.09493	80033	0	50
2020.05.22	00:00:00	1.09462	1.09537	1.08854	1.09025	70914	0	50
2020.05.25	00:00:00	1.08954	1.09145	1.08707	1.08969	46866	0	50
2020.05.26	00:00:00	1.08947	1.09959	1.08912	1.09824	82000	0	50
2020.05.27	00:00:00	1.09815	1.10309	1.09340	1.10092	122950	0	50
2020.05.28	00:00:00	1.10036	1.10935	1.09917	1.10772	112062	0	50
2020.05.29	00:00:00	1.10767	1.11451	1.10662	1.11076	130404	0	50
2020.06.01	00:00:00	1.11137	1.11540	1.11005	1.11339	109585	0	50
2020.06.02	00:00:00	1.11356	1.11961	1.11152	1.11690	116355	0	50
2020.06.03	00:00:00	1.11685	1.12579	1.11667	1.12337	132561	0	50
2020.06.04	00:00:00	1.12333	1.13623	1.11947	1.13355	142053	0	50
2020.06.05	00:00:00	1.13382	1.13838	1.12784	1.12879	141109	0	50
2020.06.08	00:00:00	1.12933	1.13199	1.12683	1.12939	111373	0	50
2020.06.09	00:00:00	1.12940	1.13639	1.12410	1.13382	122770	0	50
2020.06.10	00:00:00	1.13394	1.14225	1.13219	1.13756	140660	0	50
2020.06.11	00:00:00	1.13725	1.14036	1.12887	1.12979	203039	0	50
2020.06.12	00:00:00	1.12939	1.13406	1.12126	1.12607	201543	0	50
2020.06.15	00:00:00	1.12333	1.13325	1.12263	1.13227	195512	0	50
2020.06.16	00:00:00	1.13237	1.13534	1.12280	1.12636	165544	0	50
2020.06.17	00:00:00	1.12633	1.12940	1.12069	1.12431	162667	0	50
2020.06.18	00:00:00	1.12439	1.12614	1.11855	1.12047	156551	0	50
2020.06.19	00:00:00	1.12052	1.12542	1.11683	1.11769	147281	0	50
2020.06.22	00:00:00	1.11823	1.12700	1.11685	1.12614	125043	0	50
2020.06.23	00:00:00	1.12578	1.13487	1.12331	1.13086	157748	0	50
2020.06.24	00:00:00	1.13076	1.13258	1.12483	1.12499	150128	0	50
2020.06.25	00:00:00	1.12503	1.12597	1.11904	1.12181	149397	0	50
2020.06.26	00:00:00	1.12165	1.12394	1.11952	1.12181	108802	0	50
2020.06.29	00:00:00	1.12148	1.12879	1.12124	1.12426	118718	0	50
2020.06.30	00:00:00	1.12416	1.12619	1.11910	1.12336	119285	0	50
2020.07.01	00:00:00	1.12339	1.12752	1.11850	1.12512	120673	0	50
2020.07.02	00:00:00	1.12507	1.13027	1.12234	1.12394	117784	0	50
2020.07.03	00:00:00	1.12392	1.12513	1.12193	1.12449	99779	0	50
2020.07.06	00:00:00	1.12432	1.13455	1.12384	1.13088	111536	0	50
2020.07.07	00:00:00	1.13089	1.13325	1.12587	1.12743	124997	0	50
2020.07.08	00:00:00	1.12726	1.13518	1.12624	1.13298	113998	0	50
2020.07.09	00:00:00	1.13266	1.13707	1.12803	1.12847	134424	0	50
2020.07.10	00:00:00	1.12811	1.13248	1.12549	1.12967	114156	0	50
2020.07.13	00:00:00	1.13045	1.13749	1.13009	1.13428	99971	0	50
2020.07.14	00:00:00	1.13437	1.14088	1.13253	1.13999	139875	0	50
2020.07.15	00:00:00	1.13948	1.14521	1.13894	1.14115	127147	0	50
2020.07.16	00:00:00	1.14110	1.14417	1.13705	1.13822	123975	0	50
2020.07.17	00:00:00	1.13834	1.14437	1.13750	1.14260	96654	0	50
2020.07.20	00:00:00	1.14061	1.14678	1.14025	1.14473	121281	0	50
2020.07.21	00:00:00	1.14468	1.15398	1.14230	1.15283	123460	0	50
2020.07.22	00:00:00	1.15264	1.16015	1.15068	1.15702	144816	0	50
2020.07.23	00:00:00	1.15695	1.16269	1.15403	1.15969	139900	0	50
2020.07.24	00:00:00	1.15958	1.16582	1.15813	1.16551	141800	0	50
2020.07.27	00:00:00	1.16418	1.17814	1.16404	1.17513	153589	0	50
2020.07.28	00:00:00	1.17513	1.17737	1.16987	1.17168	155512	0	50
2020.07.29	00:00:00	1.17150	1.18063	1.17103	1.17902	138781	0	50
2020.07.30	00:00:00	1.17908	1.18484	1.17310	1.18468	155590	0	50
2020.07.31	00:00:00	1.18471	1.19088	1.17615	1.17719	184281	0	50
2020.08.03	00:00:00	1.17708	1.17967	1.16959	1.17627	136164	0	50
2020.08.04	00:00:00	1.17617	1.18058	1.17213	1.18027	95769	0	50
2020.08.05	00:00:00	1.17982	1.19049	1.17929	1.18641	85790	0	50
2020.08.06	00:00:00	1.18603	1.19162	1.18183	1.18768	102028	0	50
2020.08.07	00:00:00	1.18761	1.18831	1.17552	1.17857	100309	0	50
2020.08.10	00:00:00	1.17868	1.18007	1.17360	1.17365	73422	0	50
2020.08.11	00:00:00	1.17390	1.18080	1.17222	1.17394	96929	0	50
2020.08.12	00:00:00	1.17412	1.18159	1.17112	1.17853	98116	0	50
2020.08.13	00:00:00	1.17839	1.18642	1.17787	1.18145	85473	0	50
2020.08.14	00:00:00	1.18125	1.18504	1.17819	1.18413	82548	0	50
2020.08.17	00:00:00	1.18394	1.18808	1.18281	1.18701	72090	0	50
2020.08.18	00:00:00	1.18629	1.19656	1.18575	1.19313	87279	0	50
2020.08.19	00:00:00	1.19285	1.19527	1.18304	1.18392	88722	0	50
2020.08.20	00:00:00	1.18338	1.18687	1.18022	1.18612	95181	0	50
2020.08.21	00:00:00	1.18590	1.18829	1.17544	1.17964	84475	0	50
2020.08.24	00:00:00	1.17891	1.18496	1.17843	1.17872	70977	0	50
2020.08.25	00:00:00	1.17845	1.18435	1.17842	1.18337	88760	0	50
2020.08.26	00:00:00	1.18341	1.18392	1.17723	1.18302	77886	0	50
2020.08.27	00:00:00	1.18278	1.19003	1.17626	1.18216	110598	0	50
2020.08.28	00:00:00	1.18206	1.19198	1.18110	1.19060	103573	0	50
2020.08.31	00:00:00	1.18958	1.19662	1.18844	1.19363	93303	0	50
2020.09.01	00:00:00	1.19292	1.20104	1.19015	1.19117	101930	0	50
2020.09.02	00:00:00	1.19092	1.19288	1.18221	1.18542	91160	0	50
2020.09.03	00:00:00	1.18502	1.18646	1.17890	1.18513	102830	0	50
2020.09.04	00:00:00	1.18478	1.18655	1.17807	1.18395	106670	0	50
2020.09.07	00:00:00	1.18448	1.18487	1.18116	1.18127	57209	0	50
2020.09.08	00:00:00	1.18119	1.18275	1.17654	1.17737	101200	0	50
2020.09.09	00:00:00	1.17733	1.18336	1.17530	1.18028	90240	0	50
2020.09.10	00:00:00	1.18026	1.19175	1.17972	1.18147	100685	0	50
2020.09.11	00:00:00	1.18068	1.18741	1.18058	1.18461	81491	0	50
2020.09.14	00:00:00	1.18346	1.18879	1.18319	1.18637	63432	0	50
2020.09.15	00:00:00	1.18574	1.19006	1.18395	1.18465	70724	0	50
2020.09.16	00:00:00	1.18466	1.18823	1.17877	1.18161	90815	0	50
2020.09.17	00:00:00	1.18155	1.18523	1.17378	1.18476	106657	0	50
2020.09.18	00:00:00	1.18475	1.18705	1.18263	1.18418	84551	0	50
2020.09.21	00:00:00	1.18398	1.18718	1.17318	1.17715	96889	0	50
2020.09.22	00:00:00	1.17589	1.17729	1.16918	1.17041	102120	0	50
2020.09.23	00:00:00	1.17066	1.17189	1.16515	1.16601	102367	0	50
2020.09.24	00:00:00	1.16566	1.16869	1.16266	1.16681	107358	0	50
2020.09.25	00:00:00	1.16658	1.16849	1.16125	1.16291	87482	0	50
2020.09.28	00:00:00	1.16196	1.16801	1.16152	1.16666	78801	0	50
2020.09.29	00:00:00	1.16611	1.17454	1.16607	1.17432	79102	0	50
2020.09.30	00:00:00	1.17432	1.17549	1.16849	1.17208	105124	0	50
2020.10.01	00:00:00	1.17182	1.17697	1.17173	1.17455	99397	0	50
2020.10.02	00:00:00	1.17434	1.17477	1.16958	1.17166	114728	0	50
2020.10.05	00:00:00	1.17108	1.17976	1.17052	1.17845	77865	0	50
2020.10.06	00:00:00	1.17808	1.18078	1.17319	1.17335	90082	0	50
2020.10.07	00:00:00	1.17326	1.17818	1.17250	1.17629	86953	0	50
2020.10.08	00:00:00	1.17600	1.17817	1.17330	1.17603	74510	0	50
2020.10.09	00:00:00	1.17580	1.18305	1.17554	1.18293	72393	0	50
2020.10.12	00:00:00	1.18101	1.18267	1.17868	1.18118	65787	0	50
2020.10.13	00:00:00	1.18133	1.18153	1.17304	1.17454	75276	0	50
2020.10.14	00:00:00	1.17442	1.17710	1.17200	1.17458	75882	0	50
2020.10.15	00:00:00	1.17437	1.17579	1.16886	1.17073	80006	0	50
2020.10.16	00:00:00	1.17070	1.17462	1.16941	1.17162	70240	0	50
2020.10.19	00:00:00	1.17158	1.17936	1.17032	1.17709	69297	0	50
