date,open,high,low,close,volume
2019-07-11 02:00:00,15.254,15.267,15.238,15.262,345
2019-07-11 03:00:00,15.262,15.302,15.26,15.278,912
2019-07-11 04:00:00,15.278,15.282,15.226,15.226,1294
2019-07-11 05:00:00,15.228,15.254,15.224,15.25,767
2019-07-11 06:00:00,15.25,15.275,15.248,15.265,467
2019-07-11 07:00:00,15.265,15.277,15.258,15.27,271
2019-07-11 08:00:00,15.27,15.285,15.231,15.245,435
2019-07-11 09:00:00,15.245,15.249,15.211,15.249,755
2019-07-11 10:00:00,15.249,15.276,15.234,15.271,927
2019-07-11 11:00:00,15.27,15.285,15.252,15.28,630
2019-07-11 12:00:00,15.28,15.3,15.265,15.269,616
2019-07-11 13:00:00,15.266,15.271,15.238,15.249,759
2019-07-11 14:00:00,15.249,15.274,15.239,15.264,953
2019-07-11 15:00:00,15.264,15.27,15.155,15.175,2828
2019-07-11 16:00:00,15.175,15.231,15.155,15.204,1995
2019-07-11 17:00:00,15.206,15.221,15.127,15.136,1931
2019-07-11 18:00:00,15.136,15.181,15.129,15.17,1200
2019-07-11 19:00:00,15.17,15.174,15.129,15.14,781
2019-07-11 20:00:00,15.14,15.149,15.09,15.105,1646
2019-07-11 21:00:00,15.105,15.129,15.097,15.122,737
2019-07-11 22:00:00,15.122,15.135,15.115,15.123,544
2019-07-11 23:00:00,15.121,15.124,15.084,15.104,289
2019-07-12 01:00:00,15.086,15.122,15.084,15.106,161
2019-07-12 02:00:00,15.106,15.119,15.098,15.1,263
2019-07-12 03:00:00,15.098,15.136,15.098,15.13,534
2019-07-12 04:00:00,15.128,15.144,15.12,15.139,872
2019-07-12 05:00:00,15.137,15.143,15.12,15.129,450
2019-07-12 06:00:00,15.129,15.136,15.118,15.129,354
2019-07-12 07:00:00,15.129,15.134,15.114,15.117,220
2019-07-12 08:00:00,15.116,15.124,15.099,15.107,540
2019-07-12 09:00:00,15.107,15.128,15.105,15.123,844
2019-07-12 10:00:00,15.123,15.159,15.119,15.143,1033
2019-07-12 11:00:00,15.143,15.166,15.125,15.125,701
2019-07-12 12:00:00,15.128,15.129,15.083,15.099,915
2019-07-12 13:00:00,15.1,15.107,15.085,15.104,573
2019-07-12 14:00:00,15.104,15.134,15.102,15.114,728
2019-07-12 15:00:00,15.114,15.119,15.035,15.084,1628
2019-07-12 16:00:00,15.084,15.137,15.075,15.118,1364
2019-07-12 17:00:00,15.118,15.141,15.088,15.139,1295
2019-07-12 18:00:00,15.139,15.159,15.12,15.143,852
2019-07-12 19:00:00,15.142,15.213,15.139,15.205,639
2019-07-12 20:00:00,15.207,15.224,15.183,15.209,390
2019-07-12 21:00:00,15.212,15.235,15.201,15.231,734
2019-07-12 22:00:00,15.229,15.232,15.204,15.21,429
2019-07-12 23:00:00,15.21,15.215,15.193,15.193,225
2019-07-15 01:00:00,15.205,15.242,15.2,15.217,206
2019-07-15 02:00:00,15.217,15.218,15.192,15.212,382
2019-07-15 03:00:00,15.212,15.225,15.203,15.209,427
2019-07-15 04:00:00,15.208,15.212,15.152,15.165,1005
2019-07-15 05:00:00,15.167,15.177,15.147,15.167,835
2019-07-15 06:00:00,15.167,15.188,15.164,15.188,406
2019-07-15 07:00:00,15.188,15.193,15.173,15.183,269
2019-07-15 08:00:00,15.183,15.208,15.169,15.205,307
2019-07-15 09:00:00,15.205,15.261,15.203,15.254,683
2019-07-15 10:00:00,15.254,15.274,15.245,15.27,877
2019-07-15 11:00:00,15.271,15.322,15.269,15.314,712
2019-07-15 12:00:00,15.314,15.34,15.309,15.322,534
2019-07-15 13:00:00,15.324,15.33,15.303,15.307,361
2019-07-15 14:00:00,15.306,15.321,15.274,15.295,686
2019-07-15 15:00:00,15.296,15.347,15.273,15.29,1507
2019-07-15 16:00:00,15.29,15.302,15.229,15.289,1371
2019-07-15 17:00:00,15.291,15.291,15.238,15.282,1289
2019-07-15 18:00:00,15.282,15.313,15.277,15.308,862
2019-07-15 19:00:00,15.308,15.338,15.303,15.331,650
2019-07-15 20:00:00,15.333,15.339,15.312,15.335,521
2019-07-15 21:00:00,15.335,15.346,15.323,15.341,451
2019-07-15 22:00:00,15.341,15.391,15.341,15.382,452
2019-07-15 23:00:00,15.382,15.39,15.367,15.372,205
2019-07-16 01:00:00,15.375,15.409,15.355,15.384,197
2019-07-16 02:00:00,15.384,15.386,15.367,15.38,269
2019-07-16 03:00:00,15.381,15.386,15.349,15.349,319
2019-07-16 04:00:00,15.345,15.349,15.301,15.333,837
2019-07-16 05:00:00,15.333,15.348,15.317,15.327,323
2019-07-16 06:00:00,15.329,15.334,15.312,15.319,324
2019-07-16 07:00:00,15.316,15.33,15.316,15.323,187
2019-07-16 08:00:00,15.325,15.373,15.318,15.358,441
2019-07-16 09:00:00,15.358,15.41,15.358,15.407,718
2019-07-16 10:00:00,15.407,15.443,15.403,15.427,736
2019-07-16 11:00:00,15.427,15.444,15.392,15.406,510
2019-07-16 12:00:00,15.406,15.419,15.395,15.395,518
2019-07-16 13:00:00,15.395,15.399,15.369,15.38,569
2019-07-16 14:00:00,15.38,15.425,15.379,15.405,701
2019-07-16 15:00:00,15.405,15.44,15.341,15.394,2064
2019-07-16 16:00:00,15.393,15.645,15.347,15.568,2856
2019-07-16 17:00:00,15.571,15.681,15.56,15.636,1987
2019-07-16 18:00:00,15.636,15.661,15.567,15.568,1283
2019-07-16 19:00:00,15.569,15.625,15.52,15.625,1828
2019-07-16 20:00:00,15.622,15.675,15.583,15.609,1850
2019-07-16 21:00:00,15.609,15.632,15.545,15.573,1219
2019-07-16 22:00:00,15.573,15.584,15.513,15.519,643
2019-07-16 23:00:00,15.519,15.542,15.517,15.538,320
2019-07-17 01:00:00,15.549,15.555,15.538,15.539,178
2019-07-17 02:00:00,15.538,15.547,15.528,15.536,169
2019-07-17 03:00:00,15.536,15.554,15.507,15.554,308
2019-07-17 04:00:00,15.554,15.647,15.554,15.596,1213
2019-07-17 05:00:00,15.592,15.619,15.584,15.589,482
2019-07-17 06:00:00,15.593,15.604,15.577,15.579,228
2019-07-17 07:00:00,15.584,15.593,15.579,15.584,147
2019-07-17 08:00:00,15.584,15.601,15.564,15.599,430
2019-07-17 09:00:00,15.599,15.633,15.596,15.628,654
2019-07-17 10:00:00,15.638,15.648,15.59,15.6,770
2019-07-17 11:00:00,15.6,15.604,15.544,15.555,843
2019-07-17 12:00:00,15.554,15.577,15.539,15.572,627
2019-07-17 13:00:00,15.572,15.62,15.567,15.608,473
2019-07-17 14:00:00,15.608,15.634,15.596,15.626,556
2019-07-17 15:00:00,15.629,15.693,15.626,15.668,1462
2019-07-17 16:00:00,15.667,15.832,15.654,15.805,2447
2019-07-17 17:00:00,15.806,15.852,15.771,15.824,1966
2019-07-17 18:00:00,15.824,15.902,15.824,15.898,2011
2019-07-17 19:00:00,15.899,15.913,15.856,15.898,1011
